Date,Category,Merchant,Amount
2025-05-18,Transport,Metro BCN,-14.63
2025-05-18,Healthcare,Farmacia,-39.38
2025-05-19,Utilities,Electric Co,-49.07
2025-05-20,Dining Out,McDonald's,-57.32
2025-05-20,Savings,Vault Transfer,89.14
2025-05-20,Transport,Cabify,-10.34
2025-05-21,Dining Out,McDonald's,-20.13
2025-05-22,Savings,Vault Transfer,22.93
2025-05-22,Dining Out,McDonald's,-58.48
2025-05-22,Utilities,GasUnion,-9.64
2025-05-22,Utilities,GasUnion,-57.7
2025-05-22,Utilities,GasUnion,-54.59
2025-05-23,Transport,Renfe,-22.06
2025-05-23,Utilities,GasUnion,-43.1
2025-05-23,Utilities,Electric Co,-51.15
2025-05-23,Groceries,Carrefour,-12.93
2025-05-24,Healthcare,DentalCare,-44.81
2025-05-24,Healthcare,Farmacia,-58.79
2025-05-24,Transport,Renfe,-9.48
2025-05-24,Dining Out,KFC,-18.26
2025-05-24,Healthcare,VisionPlus,-36.9
2025-05-24,Investments,Index ETF,99.17
2025-05-25,Transport,Renfe,-29.95
2025-05-26,Utilities,Water Inc,-11.1
2025-05-26,Utilities,GasUnion,-49.06
2025-05-26,Subscriptions,Netflix,-47.6
2025-05-27,Subscriptions,Netflix,-5.45
2025-05-27,Savings,ING Savings,84.38
2025-05-28,Healthcare,VisionPlus,-57.91
2025-05-28,Subscriptions,Netflix,-29.94
2025-05-29,Healthcare,Farmacia,-14.92
2025-05-29,Utilities,GasUnion,-21.27
2025-05-29,Transport,Cabify,-30.55
2025-05-30,Dining Out,KFC,-47.62
2025-05-31,Dining Out,KFC,-26.9
2025-05-31,Healthcare,DentalCare,-51.82
2025-06-01,Transport,Metro BCN,-41.23
2025-06-02,Salary,Part-time Bar Job,741.96
2025-06-02,Investments,Crypto Wallet,96.35
2025-06-02,Rent,Landlord Transfer,-582.63
2025-06-02,Investments,Crypto Wallet,124.15
2025-06-03,Utilities,Electric Co,-26.84
2025-06-04,Dining Out,KFC,-52.88
2025-06-04,Utilities,Water Inc,-53.92
2025-06-05,Dining Out,McDonald's,-13.56
2025-06-06,Savings,Vault Transfer,80.36
2025-06-06,Entertainment,Spotify,-38.13
2025-06-06,Subscriptions,Netflix,-39.47
2025-06-07,Entertainment,Netflix,-51.48
2025-06-07,Transport,Metro BCN,-23.8
2025-06-07,Dining Out,McDonald's,-57.17
2025-06-07,Investments,Index ETF,106.05
2025-06-07,Investments,Stock App,96.41
2025-06-08,Savings,Vault Transfer,81.56
2025-06-08,Entertainment,Cinema City,-26.06
2025-06-08,Utilities,Electric Co,-53.29
2025-06-08,Entertainment,Netflix,-24.63
2025-06-09,Transport,Metro BCN,-21.27
2025-06-09,Entertainment,Netflix,-47.59
2025-06-09,Healthcare,DentalCare,-23.69
2025-06-09,Healthcare,VisionPlus,-5.89
2025-06-09,Entertainment,Cinema City,-7.39
2025-06-10,Healthcare,VisionPlus,-25.72
2025-06-10,Subscriptions,Netflix,-40.17
2025-06-10,Subscriptions,Netflix,-59.36
2025-06-10,Investments,Crypto Wallet,93.57
2025-06-11,Healthcare,VisionPlus,-52.87
2025-06-11,Savings,Vault Transfer,49.39
2025-06-11,Savings,Vault Transfer,73.35
2025-06-12,Transport,Metro BCN,-29.78
2025-06-12,Investments,Stock App,128.34
2025-06-12,Transport,Cabify,-47.41
2025-06-12,Investments,Index ETF,60.23
2025-06-13,Investments,Index ETF,96.23
2025-06-14,Savings,Vault Transfer,81.53
2025-06-14,Savings,ING Savings,53.11
2025-06-14,Subscriptions,Spotify,-28.68
2025-06-15,Dining Out,Local Tapas,-47.4
2025-06-15,Groceries,Carrefour,-45.98
2025-06-15,Transport,Cabify,-16.29
2025-06-15,Transport,Renfe,-41.02
2025-06-15,Utilities,Electric Co,-41.86
2025-06-15,Investments,Stock App,138.75
